"Fiscal Year","Employer (Petitioner) Name","Tax ID","Industry (NAICS) Code","Petitioner City","Petitioner State","Petitioner Zip Code","Initial Approval","Initial Denial","Continuing Approval","Continuing Denial"
"2025","NORTHWIND LABS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","29","3","26","5"
"2026","NORTHWIND LABS INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN FRANCISCO","CA","","13","0","40","2"
"2024","KESTREL ROBOTICS CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","PITTSBURGH","PA","","16","1","42","5"
"2026","KESTREL ROBOTICS CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","PITTSBURGH","PA","","31","1","52","2"
"2024","FERNWEH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","8","1","14","2"
"2025","FERNWEH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","14","0","47","0"
"2026","FERNWEH INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","40","1","72","3"
"2024","QUILLSTACK","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","3","1","67","1"
"2025","QUILLSTACK","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","10","2","42","5"
"2026","QUILLSTACK","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","28","0","19","0"
"2024","MERIDIAN FINANCIAL INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","6","1","72","0"
"2025","MERIDIAN FINANCIAL INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","9","2","32","1"
"2026","MERIDIAN FINANCIAL INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","NEW YORK","NY","","33","1","16","0"
"2024","BASALT SECURITY INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","20","2","61","4"
"2025","BASALT SECURITY INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","5","1","19","5"
"2026","BASALT SECURITY INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","AUSTIN","TX","","20","0","60","2"
"2024","COPPERLEAF INSURANCE INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","HARTFORD","CT","","11","2","40","5"
"2025","COPPERLEAF INSURANCE INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","HARTFORD","CT","","5","1","68","3"
"2024","BRIGHTWATER ANALYTICS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","9","0","24","4"
"2025","BRIGHTWATER ANALYTICS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","9","2","32","2"
"2026","BRIGHTWATER ANALYTICS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SEATTLE","WA","","35","0","45","3"
"2024","PINECREST GAMES LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","LOS ANGELES","CA","","33","1","28","4"
"2025","PINECREST GAMES LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","LOS ANGELES","CA","","28","0","42","0"
"2025","COBALT SEMICONDUCTOR INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN JOSE","CA","","23","2","59","5"
"2026","COBALT SEMICONDUCTOR INC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","SAN JOSE","CA","","9","3","14","1"
"2024","GREENFIELD GROCERS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MINNEAPOLIS","MN","","29","1","14","4"
"2025","GREENFIELD GROCERS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MINNEAPOLIS","MN","","39","1","5","2"
"2026","GREENFIELD GROCERS LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","MINNEAPOLIS","MN","","19","1","6","0"
"2024","ATLAS CIVIC CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","WASHINGTON","DC","","14","3","10","3"
"2025","ATLAS CIVIC CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","WASHINGTON","DC","","28","2","20","1"
"2026","ATLAS CIVIC CORP","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","WASHINGTON","DC","","16","0","78","3"
"2024","REDWOOD LEDGER","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","39","2","53","4"
"2025","REDWOOD LEDGER","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","10","3","55","3"
"2026","REDWOOD LEDGER","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","REMOTE","CA","","20","0","53","1"
"2024","SUMMIT CONSULTING GROUP LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","3","0","78","1"
"2025","SUMMIT CONSULTING GROUP LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","16","0","38","3"
"2026","SUMMIT CONSULTING GROUP LLC","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","CHICAGO","IL","","36","3","41","4"
"2024","BEACON NONPROFIT ALLIANCE INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","OAKLAND","CA","","31","2","77","2"
"2025","BEACON NONPROFIT ALLIANCE INC.","","54 (PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES)","OAKLAND","CA","","27","1","42","2"
